id,words,counts
1715,taxes,4
1716,net,6
1717,living,24
1718,disposable,1
1719,higher,5
1720,matters,6
1721,jamie,5
1722,barber,3
1723,ceo,4
1724,died,13
1725,devastating,2
1726,loss,6
1727,feckless,3
1728,lazy,6
1729,uneducated,7
1730,migration,17
1731,shortage,1
1732,software,5
1733,engineers,1
1734,biochemists,1
1735,dragging,1
1736,fares,3
1737,britains,8
1738,shittakes,1
1739,germans,12
1740,paying,16
1741,extremely,3
1742,efficient,1
1743,services,17
1744,marmite,1
1745,sometimes,8
1746,occasions,2
1747,lately,1
1748,presumably,16
1749,victims,7
1750,despotic,2
1751,venezuelan,3
1752,regime,2
1753,fullthroated,2
1754,found,29
1755,charlie,1
1756,mcdonnell,10
1757,born,13
1758,beautiful,15
1759,tolerant,7
1760,country,98
1761,experience,14
1762,visceral,1
1763,xenophobia,5
1764,tainted,1
1765,view,33
1766,tad,8
1767,transport,8
1768,booming,2
1769,economy,13
1770,around,37
